website,id,date,layer_counts,all_packet_count,all_packet_sizes,all_packet_total_size,all_packet_min_size,all_packet_max_size,all_packet_average_size,tcp_packet_count,tcp_packet_sizes,tcp_packet_total_size,tcp_packet_min_size,tcp_packet_max_size,tcp_packet_average_size,udp_count,udp_packet_count,udp_packet_sizes,udp_packet_total_size,udp_packet_min_size,udp_packet_max_size,udp_packet_average_size,ip_packet_count,ip_packet_sizes,ip_packet_total_size,ip_packet_min_size,ip_packet_max_size,ip_packet_average_size,dns_count,dns_query_types,dns_response_codes,dns_incomplete_transactions,data_count,data_total_payload_size,data_min_payload_size,data_max_payload_size,data_avg_payload_size,param_frag_size,param_tcp_frag,param_record_frag
https://search.malaysiadirectory.com/,3aa1198b-4341-40a8-9143-b874197933f3,2025-04-09 00:08:59,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0,20,True,False
https://search.malaysiadirectory.com/,020f1790-19d5-4798-91ca-1f670bdc7267,2025-04-09 00:09:29,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0,20,True,False
https://search.malaysiadirectory.com/,f4e7fec8-9cf7-43e8-99aa-1b285f55b205,2025-04-09 00:10:22,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0,20,True,False
https://search.malaysiadirectory.com/,75ece209-707c-41c1-a83c-eb7be3b8568c,2025-04-09 00:11:21,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0,20,True,False
https://search.malaysiadirectory.com/,555d6a3d-fdef-4325-97e1-df376a5852b5,2025-04-09 00:11:52,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0,20,True,False
https://search.malaysiadirectory.com/,4b6756e3-824b-477e-9483-799f710e20cd,2025-04-09 00:12:32,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0,20,True,False
https://search.malaysiadirectory.com/,49674d36-5838-4339-b08b-dae4b3b358ef,2025-04-09 00:13:02,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0,20,True,False
https://search.malaysiadirectory.com/,9b205a82-efdb-4570-8e5b-b93bda945e5b,2025-04-09 00:13:31,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0,20,True,False
https://search.malaysiadirectory.com/,4bcf56ba-efd9-49ca-8966-36a29be46e0c,2025-04-09 00:14:27,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0,20,True,False
https://search.malaysiadirectory.com/,7e69f209-6679-45c2-9bdf-f1bdba15fdc8,2025-04-09 00:14:56,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0,20,True,False
