website,id,date,layer_counts,all_packet_count,all_packet_sizes,all_packet_total_size,all_packet_min_size,all_packet_max_size,all_packet_average_size,tcp_packet_count,tcp_packet_sizes,tcp_packet_total_size,tcp_packet_min_size,tcp_packet_max_size,tcp_packet_average_size,udp_count,udp_packet_count,udp_packet_sizes,udp_packet_total_size,udp_packet_min_size,udp_packet_max_size,udp_packet_average_size,ip_packet_count,ip_packet_sizes,ip_packet_total_size,ip_packet_min_size,ip_packet_max_size,ip_packet_average_size,dns_count,dns_query_types,dns_response_codes,dns_incomplete_transactions,data_count,data_total_payload_size,data_min_payload_size,data_max_payload_size,data_avg_payload_size,param_dpyproxy
https://search.malaysiadirectory.com/,2411fcac-a3c3-4a11-958d-d687a56918ea,2025-04-09 00:09:07,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0,False
https://search.malaysiadirectory.com/,163994f3-2233-496c-9261-3ce80709910a,2025-04-09 00:09:38,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0,False
https://search.malaysiadirectory.com/,c7621163-e781-4edd-be84-8ff9556f5e3a,2025-04-09 00:10:32,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0,False
https://search.malaysiadirectory.com/,88341b12-0b8d-45db-ba3f-91baec75c3e9,2025-04-09 00:11:31,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0,False
https://search.malaysiadirectory.com/,73ae382a-4577-451c-94d2-f741ed881476,2025-04-09 00:12:11,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0,False
https://search.malaysiadirectory.com/,c9b1ebba-66b0-4af3-afbe-9fb82745d14b,2025-04-09 00:12:40,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0,False
https://search.malaysiadirectory.com/,807b2531-d4e7-4dce-bf30-ccc1943ff907,2025-04-09 00:13:10,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0,False
https://search.malaysiadirectory.com/,9a0e6fe0-3b3e-4b5e-a6a0-ed8ec15a17a7,2025-04-09 00:14:05,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0,False
https://search.malaysiadirectory.com/,d31773bf-30cf-4489-abbe-09f96ceee6c9,2025-04-09 00:14:36,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0,False
https://search.malaysiadirectory.com/,c8ecda5a-634f-4211-9faa-aa64365dc966,2025-04-09 00:15:05,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0,False
